,Name,Tweet
147,Hillary Clinton,"“My son had his whole life to live and he was only six,” said Alberto Romero. His son, Steven, was one of three peo…"
148,Hillary Clinton,"""They're doing it as we sit here,"" Director Mueller said of Russian interference. And Republicans are holding open…"
149,Hillary Clinton,".@OnwardTogether partners @SwingLeft, @ArenaSummit, and @RunForSomething are on the case. Join the fight to win bac…"
150,Hillary Clinton,Dr. Paul Farmer has forever changed the field of public health through his revolutionary approach. Hope you’ll tune…
151,Hillary Clinton,"Puerto Ricans, united, shall never be defeated. 🇵🇷"
152,Hillary Clinton,We will not and cannot accept this.
153,Hillary Clinton,@Hickenlooper @GoldfishSmiles @bhtm And they say you’re moderate.
154,Hillary Clinton,Thanks to @NationalSCLC for the honor of speaking in Atlanta about the fights we need to wage &amp; win now. As we've s…
155,Hillary Clinton,Sharing some happy news this morning! Bill and I are so thrilled.
156,Hillary Clinton,I stand with the people of Puerto Rico as they protest the corruption and disgraceful behavior of their government.…
157,Hillary Clinton,"Democracy may be our birthright as Americans, but it’s not something we can ever take for granted. Every generati…"
158,Hillary Clinton,"If you’re considering working on a Democratic campaign in 2020, don’t miss Friday’s deadline to apply to…"
159,Hillary Clinton,"""It is confidence in the men and women who administer the judicial system that is the true backbone of the rule of…"
160,Hillary Clinton,Let's not forget why Trump is attacking Democratic women of color in the first place:They brought attention to th…
161,Hillary Clinton,"They're from America, and you're right about one thing: Currently their government is a complete and total catastro…"
162,Hillary Clinton,Por favor comparte:
163,Hillary Clinton,The Trump administration is preparing sweeping raids on undocumented people as the president threatens to go agains…
164,Hillary Clinton,"Diplomacy is not the pursuit of perfection. It is the balancing of risk. So far, the administration has conscious…"
165,Hillary Clinton,"As I said after the Iran deal was reached, it was not perfect but it achieved its fundamental mission of blocking e…"
166,Hillary Clinton,"By withdrawing from the deal, the administration has effectively broken up the international coalition that was uni…"
167,Hillary Clinton,"When the Trump administration threatened to pull out of the Iran deal and impose more sanctions last year, it was c…"
168,Hillary Clinton,We have a once-in-a-decade chance to draw fairer election maps if we win state legislature races this year and next…
169,Hillary Clinton,CC @ussoccer
170,Hillary Clinton,World champs—again!! To the amazing women of the #USWNT: Thank you for playing like girls. 🇺🇸
171,Hillary Clinton,"As we get ready to cheer on the #USWNT in Sunday’s final, let's note that they’re fighting for equal pay—and their…"
172,Hillary Clinton,Fighting against inhumane conditions at the border is a matter of conscience and law. A federal asylum officers' un…
173,Hillary Clinton,"We need a strong national defense, but a president shouldn’t need it next to him in a parade to show his patriotism."
174,Hillary Clinton,This is an incredibly useful new tool from @OnwardTogether partner @SwingLeft: Enter your zip code to find what you…
175,Hillary Clinton,"This is a huge victory for democracy. Thank you to all the citizens, advocates, and lawyers who worked hard to ma…"
176,Hillary Clinton,Congrats to the #USWNT for earning that tea. On to the final! 🇺🇸
177,Hillary Clinton,"There are over 400,000 kids in America's foster care system. A small thing you can do to help: Talk about it.…"
178,Hillary Clinton,.@RunForSomething will help.
179,Hillary Clinton,I'm grateful to the members of Congress who have visited camps at the border over the last couple of days to hold a…
180,Hillary Clinton,Nope.The @ClintonFdn has—among many other things—provided 13k doses of naloxone to fight ODs and helped deliver s…
181,Hillary Clinton,"Women deserve to be equally represented at decision-making tables, including in national security. I'm proud to sup…"
182,Hillary Clinton,Thanks to Sky CEO Jeremy Darroch for the chat about why it's so close to my heart. Interested students can apply…
183,Hillary Clinton,"Hi, London! I made a surprise stop at the Sky Leadership event to announce a new scholarship program from @SkyUK &amp;…"
184,Hillary Clinton,"In 70 countries, it's still a crime to be LGBTQ+. Hope you'll listen to this important conversation about pride, pr…"
185,Hillary Clinton,There's ample evidence that Republicans in office have pursued gerrymandered maps to shut out people of color from…
186,Hillary Clinton,"More contributions mean more services, lawyers, and advocates for kids and families in need, so please continue to…"
187,Hillary Clinton,"Your donations will be split evenly among @AlOtroLado_Org, @ACLU, @asylumadvocacy, @dreambignv, @fams2gether,…"
